table	column	label	nulltype	datatype	structure	description
annotation	cell_ontology_term		empty	ontology_label		This MUST be the human-readable name assigned to the value of 'cell_ontology_term_id'
annotation	rationale		empty	text		The free-text rationale which users provide as justification/evidence for their cell annotations.  Researchers are encouraged to use this field to cite relevant publications in-line using standard academic citations of the form `(Zheng et al., 2020)` This human-readable free-text MUST be encoded as a single string. All references cited SHOULD be listed using DOIs under rationale_dois. There MUST be a 2000-character limit.
annotation	rationale_dois		empty	text		A list of valid publication DOIs cited by the author to support or provide justification/evidence/context for 'cell_label'. Multiple values can be concatenated by using the '|' character as a delimiter.
annotation	marker_gene_evidence		empty	text		List of names of genes whose expression in the cells being annotated is explicitly used as evidence for this cell annotation. Each gene MUST be included in the matrix of the AnnData/Seurat file. Multiple values can be concatenated by using the '|' character as a delimiter.
annotation	synonyms		empty	text		This field denotes any free-text term of a biological entity which the author associates as synonymous with the biological entity listed in the field 'cell_label'. In the case whereby no synonyms exist, the authors MAY leave this as blank, which is encoded as 'NA'. However, this field is NOT OPTIONAL. Multiple values can be concatenated by using the '|' character as a delimiter.
annotation	neighborhood		empty	text		
annotation	subclass.tf.markers.combo		empty	text		
annotation	subclass.markers.combo		empty	text		
annotation	supertype.markers.combo _within subclass_		empty	text		
annotation	supertype.markers.combo		empty	text		
annotation	anatomical_annotation		empty	text		
annotation	merfish.markers.combo		empty	text		
annotation	cluster.TF.markers.combo		empty	text		
annotation	cluster.markers.combo _within subclass_		empty	text		
annotation	cluster.markers.combo		empty	text		
labelset	name	name		text	primary	
labelset	description		empty	text		Some text describing what types of cell annotation this annotation key is used to record
labelset	rank		empty	text		A number indicating relative granularity with 0 being the most specific.  Use this where a single dataset has multiple keys that are used consistently to record annotations and different levels of granularity.
labelset	annotation_method		empty	text		The method used for creating the cell annotations. This MUST be one of the following strings: `'algorithmic'`, `'manual'`, or `'both'`
labelset	automated_annotation_algorithm_name		empty	text		The name of the algorithm used. It MUST be a string of the algorithm's name.
labelset	automated_annotation_algorithm_version		empty	text		The version of the algorithm used (if applicable). It MUST be a string of the algorithm's version, which is typically in the format '[MAJOR].[MINOR]', but other versioning systems are permitted (based on the algorithm's versioning).
labelset	automated_annotation_algorithm_repo_url		empty	text		This field denotes the URL of the version control repository associated with the algorithm used (if applicable). It MUST be a string of a valid URL.
labelset	automated_annotation_reference_location		empty	text		This field denotes a valid URL of the annotated dataset that was the source of annotated reference data.  This MUST be a string of a valid URL. The concept of a 'reference' specifically refers to 'annotation transfer' algorithms, whereby a 'reference' dataset is used to transfer cell annotations to the 'query' dataset.
metadata	index	index		text	primary	
metadata	author_name		empty	text		Primary author's name. This MUST be a string in the format `[FIRST NAME] [LAST NAME]`
metadata	author_contact		empty	text		Primary author's contact. This MUST be a valid email address of the author
metadata	orcid		empty	text		Primary author's orcid. This MUST be a valid ORCID for the author
metadata	author_list		empty	text		This field stores a list of users who are included in the project as collaborators, regardless of their specific role. An example list; '['John Smith', 'Cody Miller', 'Sarah Jones']'
metadata	matrix_file_id		empty	text		A resolvable ID for a cell by gene matrix file in the form namespace:accession, e.g. CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122.  Please see https://github.com/cellannotation/cell-annotation-schema/registry/registry.json for supported namespaces.
metadata	title		empty	text		The title of the dataset. This MUST be less than or equal to 200 characters. e.g. 'Human retina cell atlas - retinal ganglion cells'.
metadata	description		empty	text		The description of the dataset. e.g. 'A total of 15 retinal ganglion cell clusters were identified from over 99K retinal ganglion cell nuclei in the current atlas. Utilizing previous characterized markers from macaque, 5 clusters can be annotated.'
metadata	cellannotation_schema_version		empty	text		The schema version, the cell annotation open standard. Current version MUST follow 0.1.0 This versioning MUST follow the format `'[MAJOR].[MINOR].[PATCH]'` as defined by Semantic Versioning 2.0.0, https://semver.org/
metadata	cellannotation_timestamp		empty	text		The timestamp of all cell annotations published (per dataset). This MUST be a string in the format `'%yyyy-%mm-%dd %hh:%mm:%ss'`
metadata	cellannotation_version		empty	text		The version for all cell annotations published (per dataset). This MUST be a string. The recommended versioning format is `'[MAJOR].[MINOR].[PATCH]'` as defined by Semantic Versioning 2.0.0, https://semver.org/
metadata	cellannotation_url		empty	text		A persistent URL of all cell annotations published (per dataset).
annotation_transfer	target_node_accession	target_node_accession		text	primary	
annotation_transfer	transferred_cell_label		empty	text		Transferred cell label
annotation_transfer	source_taxonomy		empty	text		PURL of source taxonomy
annotation_transfer	source_node_accession		empty	text		accession of node that label was transferred from
annotation_transfer	algorithm_name		empty	text		
annotation_transfer	comment		empty	text		Free text comment on annotation transfer
review	target_node_accession		empty	text		
review	datestamp		empty	text		
review	reviewer		empty	text		
review	review		empty	text		
review	explanation		empty	text		
flags	accession_id	accession_id		text	primary	
flags	flag		empty	text		
