cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	neighborhood	Neuronal	Glial	CTX.cluster_label	supertype.markers.combo _within subclass_	supertype.markers.combo	CCF_acronym.freq	sex.bias	cluster.markers.combo _within subclass_	nt.markers	CTX.supertype_label	v2.size	v3.size	cluster.TF.markers.combo	multiome.size	Dark	subclass.markers.combo	Light	anatomical_annotation	CTX.supertype_id	np.markers	CTX.subclass_id	cluster.markers.combo	CTX.subclass_label	CCF_broad.freq	merfish.markers.combo	CTX.size	subclass.tf.markers.combo	nt_type_label	nt_type_combo_label	CTX.cluster_id	CTX.neighborhood_id	F	CTX.neighborhood_label	M
CS20230722_CLAS_11	11 CNU-HYa GABA				class	CL:0000540	neuron								Subpallium-GABA; HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_12	12 HY GABA				class	CL:0000540	neuron								HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_13	13 CNU-HYa Glut				class	CL:0000540	neuron								HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_14	14 HY Glut				class	CL:0000540	neuron								HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_15	15 HY Gnrh1 Glut				class	CL:0011111	hypothalamic gonadotropin-releasing hormone neuron (Mmus)								HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_16	16 HY MM Glut				class	CL:0000540	neuron								HY-EA-Glut-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_17	17 MH-LH Glut				class	CL:0000540	neuron								TH-EPI-Glut	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_18	18 TH Glut				class	CL:0000540	neuron								TH-EPI-Glut	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_19	19 MB Glut				class	CL:0000540	neuron								MB-HB-Glut-Sero-Dopa	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_20	20 MB GABA				class	CL:0000540	neuron								MB-HB-CB-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_21	21 MB Dopa				class	CL:0000540	neuron								MB-HB-Glut-Sero-Dopa	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_22	22 MB-HB Sero				class	CL:0000540	neuron								MB-HB-Glut-Sero-Dopa	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_23	23 P Glut				class	CL:0000540	neuron								MB-HB-Glut-Sero-Dopa	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_24	24 MY Glut				class	CL:0000540	neuron								MB-HB-Glut-Sero-Dopa	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_25	25 Pineal Glut				class	CL:0000652	pinealocyte								MB-HB-Glut-Sero-Dopa; NN-IMN-GC	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_26	26 P GABA				class	CL:0000540	neuron								MB-HB-CB-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_27	27 MY GABA				class	CL:0000540	neuron								MB-HB-CB-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_28	28 CB GABA				class	CL:1001611	cerebellar neuron								MB-HB-CB-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_29	29 CB Glut				class	CL:2000028	cerebellar glutamatergic neuron								NN-IMN-GC	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_30	30 Astro-Epen				class										NN-IMN-GC	None	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_31	31 OPC-Oligo				class										NN-IMN-GC	None	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_32	32 OEC				class	CL:0011028	olfactory ensheathing cell								NN-IMN-GC	None	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_33	33 Vascular				class										NN-IMN-GC	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_34	34 Immune				class	CL:0000738	leukocyte								NN-IMN-GC	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLUS_0001	0001 CLA-EPd-CTX Car3 Glut_1		CS20230722_SUPT_0001	0001 CLA-EPd-CTX Car3 Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.91,Slc17a6:4.87	Slc17a7|Slc17a6	Pallium-Glut	None	None	238_Car3_2	None	None	EPd:0.11,OLF:0.11,SSs6a:0.1,CLA:0.09,PIR:0.09,AId6a:0.07,MOp6a:0.06,GU6a:0.06,AIv5:0.04,VISC6a:0.03,SSp-m6a:0.03,AIv6a:0.02	None	Lgr5	Slc17a7:9.91,Slc17a6:4.87	Car3	3793	469	Satb2,Nr2f2,Rarb,Rorb,Pou6f2,Nr4a2	0	0.02	None	0.98	CLA-EPd-iCTX	45	Cck:9.5,Cartpt:3.7	21	Car3,Satb2,Lgr5	Car3	Isocortex:0.57,CTXsp:0.21,OLF:0.2	Col24a1,Smoc2,Slc17a7,Mctp2,Irs4,Synpr	1937	None	Glut	Glut	238	4	0.5	L4_5_6_IT_Car3	0.5
CS20230722_CLUS_0002	0002 CLA-EPd-CTX Car3 Glut_1		CS20230722_SUPT_0001	0001 CLA-EPd-CTX Car3 Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.58	Slc17a7	Pallium-Glut	None	None	238_Car3_3	None	None	CLA:0.12,EPd:0.1,GU6a:0.07,SSs6a:0.06,VISC6a:0.06,TEa6a:0.06,TEa5:0.05,AId6a:0.05,AIp6a:0.05,ECT6a:0.03,ECT5:0.03,ee:0.02,ENTl6a:0.02,AUDv5:0.02,scwm:0.02,ENTl5:0.01,AUDv6a:0.01,SSs6b:0.01	None	4930407I19Rik	Slc17a7:9.58	Car3	3005	217	Osr1,Satb2,Cux2	0	0.02	None	0.98	CLA-iCTX, EPd po	45	Cck:9	21	Car3,Slc17a7,4930407I19Rik	Car3	Isocortex:0.64,CTXsp:0.24	Osr1,Kcnip1,Irs4	1712	None	Glut	Glut	238	4	0.52	L4_5_6_IT_Car3	0.48
CS20230722_CLUS_0003	0003 CLA-EPd-CTX Car3 Glut_1		CS20230722_SUPT_0001	0001 CLA-EPd-CTX Car3 Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.45,Slc17a6:6.26	Slc17a7|Slc17a6	Pallium-Glut	None	None	237_Car3_1	None	None	SSs6a:0.11,TEa6a:0.1,AId6a:0.1,GU6a:0.08,TEa5:0.08,CLA:0.06,MOp6a:0.06,AUDv6a:0.05,AUDv5:0.04,VISC6a:0.04,SSp-m6a:0.02,ECT5:0.02,TEa4:0.02,ECT6a:0.02,AId5:0.01	None	Ccbe1	Slc17a7:9.45,Slc17a6:6.26	Car3	11329	887	Satb2,Zfhx4,Ovol2,Nr2f2,Rarb,Zfpm2	0	0.04	None	0.96	TPE-AI mostly	45	Cck:9.6	21	Car3,Satb2,Ccbe1	Car3	Isocortex:0.9	Smoc2,Col24a1,Cntnap3,Ccbe1	9576	None	Glut	Glut	237	4	0.44	L4_5_6_IT_Car3	0.56
CS20230722_CLUS_0004	0004 CLA-EPd-CTX Car3 Glut_1		CS20230722_SUPT_0001	0001 CLA-EPd-CTX Car3 Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.48,Slc17a6:6.21,Aldh1a1:5.03	Slc17a7|Slc17a6|Aldh1a1	Pallium-Glut	None	None	236_Car3	None	None	SSs6a:0.23,SSs5:0.09,SSp-bfd6a:0.06,SSp-n6a:0.04,AId6a:0.04,SSp-bfd5:0.04,SSp-m6a:0.04,AUDp5:0.03,AUDv5:0.03,MOp6a:0.03,MOs6a:0.02,AUDv4:0.02,CLA:0.02,AUDd5:0.02,TEa5:0.02,AUDd6a:0.02,VISl5:0.01,SSs4:0.01,AUDp4:0.01,VISp5:0.01,scwm:0.01,SSp-m5:0.01	None	Tspan11	Slc17a7:9.48,Slc17a6:6.21,Aldh1a1:5.03	Car3	8629	705	Satb2,Maf,Nr4a2,Nr2f2,Ovol2,Zfhx4	0	0.04	None	0.96	iCTX	45	Cck:9.9,Cartpt:5.6,Nmb:3.9	21	Car3,Rxfp1,Tspan11	Car3	Isocortex:0.96	Col24a1,Igfbp6,Rspo1,Synpr,Rorb	7469	None	Glut	Glut	236	4	0.46	L4_5_6_IT_Car3	0.54
CS20230722_CLUS_0005	0005 CLA-EPd-CTX Car3 Glut_2		CS20230722_SUPT_0002	0002 CLA-EPd-CTX Car3 Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.71,Slc17a6:4.48	Slc17a7|Slc17a6	Pallium-Glut	None	None	238_Car3_4	None	None	EPd:0.2,CLA:0.11,AIp6a:0.06,AId6a:0.06,PIR:0.05,SSs6a:0.05,TEa6a:0.04,AIp5:0.04,VISC6a:0.04,TEa5:0.03,ee:0.03,OLF:0.02,AIv5:0.02,GU6a:0.02,AIv6a:0.02,AUDv5:0.02	None	Egr2	Slc17a7:9.71,Slc17a6:4.48	Car3	1014	42	Egr2,Onecut1,Tcf7l1	0	0.01	None	0.99	EPd	45	Cck:8.6	21	Ccnb1,Gtf2a1l,Egr2	Car3	Isocortex:0.56,CTXsp:0.31	Egr2,Cbln1,Ccn4	360	None	Glut	Glut	238	4	0.65	L4_5_6_IT_Car3	0.35
CS20230722_CLUS_0006	0006 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.67	Slc17a7	Pallium-Glut	None	None	226_L6 IT CTX_2	None	None	CLA:0.12,VISC6a:0.1,GU6a:0.1,ECT6a:0.06,SSs6a:0.06,AIp6a:0.06,AId6a:0.05,TEa6a:0.05,ec:0.05,ECT6b:0.02,VISC6b:0.02,amc:0.02,AUDv6a:0.02,ACAv5:0.02,AIp5:0.01,TEa6b:0.01,AIp6b:0.01,EPd:0.01	None	Alkal1,Plpp4	Slc17a7:9.67	Penk	1921	727	Osr1,Satb2,Hopx,Foxo1,Tox,Nr4a2	0	0.1	None	0.9	CLA-AI?	41	Cck:9.4,Npy:4.8	19	Alkal1,C1ql3,Tpbgl,Grin2b	L6 IT CTX	Isocortex:0.73,CTXsp:0.14	Osr1,C1ql3,Ccdc3,Drd2,Cnih3,Adamts2,Plpp4,Nr4a2	1283	None	Glut	Glut	226	4	0.46	L4_5_6_IT_Car3	0.54
CS20230722_CLUS_0007	0007 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.45	Slc17a7	Pallium-Glut	None	None	225_L6 IT CTX_1	None	None	EPd:0.39,CLA:0.21,AIp6a:0.1,VISC6a:0.07,GU6a:0.04	None	Scube2,Chrdl1	Slc17a7:9.45	Penk	4815	4866	Osr1,Satb2,Foxo1,Id4,Lin28b,Tox	0	0.12	None	0.88	EPd	41	Cck:9	19	Tll2,Slc17a7,Scube2,Npsr1	L6 IT CTX	CTXsp:0.6,Isocortex:0.29	Osr1,Npsr1,Foxo1,Dchs2,Oprk1	955	None	Glut	Glut	225	4	0.55	L4_5_6_IT_Car3	0.45
CS20230722_CLUS_0008	0008 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.78	Slc17a7	Pallium-Glut	None	None	224_L6 IT CTX_1	None	None	CLA:0.25,AId6a:0.12,GU6a:0.08,VISC6a:0.05,SSs6a:0.05,AIv5:0.03,MOp6a:0.03,AIv6a:0.03,AIp6a:0.02,ORBl5:0.02,PL6a:0.02,EPd:0.02,ORBm6a:0.01,ACAd6a:0.01,ACAv6a:0.01,CP:0.01,OLF:0.01,SSs6b:0.01,ORBvl5:0.01,TEa6a:0.01,VISC6b:0.01	None	Lipg,Serinc2,Csrnp1,Klf5	Slc17a7:9.78	Penk	1622	850	Satb2,Pparg,Esr1,Ovol2,Fos,Tox3	0	0.09	None	0.91	CLA-EPd an	41	Cck:9.4	19	Lipg,Satb2,Spag16,Tpbg	L6 IT CTX	Isocortex:0.68,CTXsp:0.27	Ccn3,Slc7a11,Gpr88,Nptx2,Chst9,Tox	793	None	Glut	Glut	224	4	0.51	L4_5_6_IT_Car3	0.49
CS20230722_CLUS_0009	0009 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:10.25	Slc17a7	Pallium-Glut	None	None	224_L6 IT CTX_2	None	None	CLA:0.27,OLF:0.19,EPd:0.16,AIv6a:0.08,AIv5:0.08,AId6a:0.05	None	Rnf152,Tll2,Rorb	Slc17a7:10.25	Penk	1628	539	Satb2,Elk3,Foxo6,Rorb,Tox3,Meis2	0	0.04	None	0.96	EPd an	41	Cck:9.6	19	Cwh43,Npsr1,Ccnb1,Col19a1	L6 IT CTX	CTXsp:0.43,Isocortex:0.33,OLF:0.23	Npsr1,Slc17a7,Kazald1,Chst9,Rorb,Vwc2l	273	None	Glut	Glut	224	4	0.55	L4_5_6_IT_Car3	0.45
CS20230722_CLUS_0010	0010 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.94	Slc17a7	Pallium-Glut	None	None	238_Car3_1	None	None	EPd:0.19,CLA:0.18,AId6a:0.07,GU6a:0.06,AIp6a:0.05,PIR:0.05,AIv5:0.04,VISC6a:0.04,AIp5:0.03,AIv6a:0.03,OLF:0.03,MOp6a:0.03	None	Lepr	Slc17a7:9.94	Car3	364	77	Osr1,Satb2,Nr2f2,Pou6f2,Tshz1,Stat5b	0	0.02	None	0.98	EPd	45	Cck:9.2	21	Osr1,Lcp1,Lepr,Vwc2l	Car3	Isocortex:0.5,CTXsp:0.38	Osr1,Kcnip1,Cntnap3,Shisa6,Vwc2l	80	None	Glut	Glut	238	4	0.64	L4_5_6_IT_Car3	0.36
CS20230722_CLUS_0011	0011 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.96	Slc17a7	Pallium-Glut	None	None	225_L6 IT CTX_2	None	None	CLA:0.46,GU6a:0.1,AId6a:0.09,AIv5:0.06,AIp6a:0.05,VISC6a:0.04	None	Zfhx4,Lpl	Slc17a7:9.96	Penk	868	651	Osr1,Satb2,Zfhx4,Nr2f2	0	0.1	None	0.9	CLA	41	Cck:9.7	19	Osr1,Satb2,Zfhx4,Lpl	L6 IT CTX	Isocortex:0.48,CTXsp:0.47	Osr1,C1ql3,Zfhx4,Vwc2l,Lpl,Rgs6	428	None	Glut	Glut	225	4	0.5	L4_5_6_IT_Car3	0.5
CS20230722_CLUS_0012	0012 IT EP-CLA Glut_1		CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	cluster							CS20230722_NEUR_Glut	Slc17a7:9.9	Slc17a7	Pallium-Glut	None	None	225_L6 IT CTX_3	None	None	SSs6a:0.13,GU6a:0.12,MOp6a:0.1,CLA:0.09,AId6a:0.09,VISC6a:0.06,MOs6a:0.03,SSp-m6a:0.03,AIp6a:0.03,scwm:0.02,SSs6b:0.02,AIp5:0.02,TEa5:0.01,AUDv5:0.01,AUDv6a:0.01,PL6a:0.01	None	Ctsc,Rab38	Slc17a7:9.9	Penk	835	155	Osr1,Ovol2,Zfhx4,Bhlhe22,Pou6f2	0	0.04	None	0.96	CLA-iCTX	41	Cck:10.1	19	Osr1,Rab38,Serpina3n	L6 IT CTX	Isocortex:0.85	Osr1,Oprk1,Zfhx4,Adamts2,Rxfp1	638	None	Glut	Glut	225	4	0.46	L4_5_6_IT_Car3	0.54
CS20230722_CLUS_0013	0013 IT EP-CLA Glut_2		CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.24	Slc17a7	Pallium-Glut	None	None	233_L6 IT ENTl_1	None	None	EPd:0.5,AIp6a:0.08,VISC6a:0.06,ENTl6a:0.05,CLA:0.04,ec:0.04,ECT6a:0.03,VISC6b:0.03	None	Tacstd2,Sfrp2	Slc17a7:9.24	Dlk1	266	56	Satb2,Hopx,Fezf2,Id4,Fosb,Nr2f2	0	0.07	None	0.93	EPd	44	Cck:8.5,Adcyap1:4.3,Penk:4	20	Txk,Sfrp2	L6 IT ENTl	CTXsp:0.56,Isocortex:0.29	Ccn3,Piezo2,Col24a1,Adcyap1,Bmp3	94	None	Glut	Glut	233	4	0.55	L4_5_6_IT_Car3	0.45
CS20230722_CLUS_0014	0014 IT EP-CLA Glut_2		CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.52	Slc17a7	Pallium-Glut	None	None	234_L6 IT ENTl	None	None	EPd:0.32,ENTl6a:0.25,ENTl5:0.11,AIp6a:0.05,ECT6a:0.04,ec:0.04	None	Rab38,Zfp503	Slc17a7:9.52	Dlk1	713	136	Osr1,Satb2,Rxrg,Bhlhe22,Nr2f2,Lin28b	0	0.07	None	0.93	EPd-EPv po	44	Cck:9.2	20	1700023F02Rik,Rab38,Chst9,Vmn2r87	L6 IT ENTl	CTXsp:0.36,RHP:0.36,Isocortex:0.15	Osr1,Dio3,Oprk1,Fibcd1	447	None	Glut	Glut	234	4	0.51	L4_5_6_IT_Car3	0.49
CS20230722_CLUS_0015	0015 IT EP-CLA Glut_2		CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.54	Slc17a7	Pallium-Glut	None	None	235_L6 IT ENTl_1	None	None	EPd:0.32,ENTl6a:0.24,ENTl5:0.08,VISC6a:0.06,ec:0.06,ee:0.06	None	Onecut1,Egr2	Slc17a7:9.54	Dlk1	254	50	Osr1,Onecut1,Egr2	0	0.06	None	0.94	EPd-EPv po	44	Cck:9.2	20	Osr1,Onecut1,Egr2	L6 IT ENTl	CTXsp:0.35,RHP:0.32,Isocortex:0.21	Osr1,Dlk1,Egr2,Fibcd1	163	None	Glut	Glut	235	4	0.56	L4_5_6_IT_Car3	0.44
CS20230722_CLUS_0016	0016 IT EP-CLA Glut_2		CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.79	Slc17a7	Pallium-Glut	None	None	235_L6 IT ENTl_2	None	None	EPd:0.24,AON:0.18,PIR:0.16,CLA:0.06,OLF:0.06,AIp6a:0.03,CTXsp:0.03,AIp5:0.02,TTd:0.02	None	Pim1,Rorb,Bcl11b	Slc17a7:9.79	Dlk1	280	160	Satb2,Egr2,Rxrg,Rorb,Nr2f2,Pparg	0	0.08	None	0.92	EPv	44	Cck:9.3,Adcyap1:5.7	20	Adgrd1,Npsr1,Egr2,Rorb	L6 IT ENTl	OLF:0.45,CTXsp:0.34,Isocortex:0.14	Ccn3,Npsr1,Egr2,Lpl,Adcyap1,Bcl11b	31	None	Glut	Glut	235	4	0.51	L4_5_6_IT_Car3	0.49
CS20230722_CLUS_0017	0017 IT EP-CLA Glut_2		CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	cluster							CS20230722_NEUR_Glut	Slc17a7:9.46	Slc17a7	Pallium-Glut	None	None	233_L6 IT ENTl_2	None	None	EPd:0.53,PIR:0.1,EPv:0.06,TR:0.05,CTXsp:0.04,CLA:0.03	None	Tacr3,Tpbgl	Slc17a7:9.46	Dlk1	816	702	Osr1,Satb2,Tox2,Rorb,Zfp618,Lin28b	0	0.1	None	0.9	EPv	44	Cck:9,Adcyap1:4.2	20	Osr1,Npsr1,Rcan3,Tpbgl	L6 IT ENTl	CTXsp:0.66,OLF:0.18	Osr1,Npsr1,Tacr3,Tacr1,Adamts2	111	None	Glut	Glut	233	4	0.56	L4_5_6_IT_Car3	0.44
CS20230722_CLUS_0018	0018 IT EP-CLA Glut_3		CS20230722_SUPT_0005	0005 IT EP-CLA Glut_3	cluster							CS20230722_NEUR_Glut	Slc17a7:9.61,Slc17a6:7.53,Gad2:4.32	Slc17a7|Slc17a6|Gad2	Pallium-Glut	None	None	213_L5 IT TPE-ENT_2	None	None	EPv:0.29,PIR:0.24,BMAa:0.19,BLAa:0.09	None	Ebf1,Zan	Slc17a7:9.61,Slc17a6:7.53,Gad2:4.32	Dcn	191	105	Satb2,Sox6,Neurod2,Ebf1	0	0.1	None	0.9	EPv extension?	37	Cck:8.9,Adcyap1:6.6	18	Lamc2,Col14a1,Olfm4,Zan	L5 IT TPE-ENT	CTXsp:0.64,OLF:0.31	Rxfp1,Npsr1,Npy2r,Ebf1,Kcng1,Trpc7	1	None	Glut	Glut	213	4	0.49	L4_5_6_IT_Car3	0.51
CS20230722_CLUS_0019	0019 IT EP-CLA Glut_3		CS20230722_SUPT_0005	0005 IT EP-CLA Glut_3	cluster							CS20230722_NEUR_Glut	Slc17a7:9.71,Slc17a6:5.93	Slc17a7|Slc17a6	Pallium-Glut	None	None	None	None	None	PIR:0.49,EPv:0.17,EPd:0.16	None	Shisal2b,Pparg	Slc17a7:9.71,Slc17a6:5.93	None	236	175	Satb2,Sox6,Tbr1,Pparg,Barx2	0	0.1	None	0.9	EPv extension?	None	Cck:9.4,Adcyap1:7	None	Bace2,Rxfp1,Krt17,Pparg	None	OLF:0.54,CTXsp:0.4	Rxfp1,Npsr1,Sox6,Pparg	None	None	Glut	Glut	None	None	0.59	None	0.41
